Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region,Still admitted
48,2,80,11/03/2020,0,0,ICT,2
61,0,95,11/03/2020,0,0,Punjab,0
84,14,171,11/03/2020,1,0,Sindh,13
20,0,28,11/03/2020,0,0,KP,0
3,0,0,11/03/2020,0,0,KPTD,0
19,1,18,11/03/2020,0,0,Balochistan,1
3,0,4,11/03/2020,0,0,AJK,0
10,2,26,11/03/2020,0,0,GB,2
52,2,85,12/03/2020,0,0,ICT,2
67,0,105,12/03/2020,0,0,Punjab,0
89,14,198,12/03/2020,2,0,Sindh,12
24,0,29,12/03/2020,0,0,KP,0
3,0,0,12/03/2020,0,0,KPTD,0
23,1,18,12/03/2020,0,0,Balochistan,1
3,0,8,12/03/2020,0,0,AJK,0
10,3,28,12/03/2020,0,0,GB,3
57,2,92,13/03/2020,0,0,ICT,2
71,0,110,13/03/2020,0,0,Punjab,0
107,15,240,13/03/2020,2,0,Sindh,13
27,0,30,13/03/2020,0,0,KP,0
4,0,0,13/03/2020,0,0,KPTD,0
31,1,18,13/03/2020,0,0,Balochistan,1
4,0,9,13/03/2020,0,0,AJK,0
17,3,32,13/03/2020,0,0,GB,3
62,3,99,14/03/2020,0,0,ICT,3
77,0,116,14/03/2020,0,0,Punjab,0
119,16,282,14/03/2020,3,0,Sindh,13
29,0,31,14/03/2020,0,0,KP,0
4,0,0,14/03/2020,0,0,KPTD,0
45,6,35,14/03/2020,0,0,Balochistan,6
4,0,10,14/03/2020,0,0,AJK,0
23,3,36,14/03/2020,0,0,GB,3
65,4,115,15/03/2020,0,0,ICT,4
83,0,126,15/03/2020,0,0,Punjab,0
127,18,315,15/03/2020,3,0,Sindh,15
30,0,32,15/03/2020,0,0,KP,0
5,0,0,15/03/2020,0,0,KPTD,0
45,6,42,15/03/2020,0,0,Balochistan,6
4,0,11,15/03/2020,0,0,AJK,0
23,3,45,15/03/2020,0,0,GB,3
69,4,147,16/03/2020,0,0,ICT,4
95,1,166,16/03/2020,0,0,Punjab,1
135,34,364,16/03/2020,3,0,Sindh,32
36,0,32,16/03/2020,0,0,KP,0
5,0,0,16/03/2020,0,0,KPTD,0
70,5,40,16/03/2020,0,0,Balochistan,10
9,0,11,16/03/2020,0,0,AJK,0
23,3,45,16/03/2020,0,0,GB,3
0,6,28,16/03/2020,0,0,Mobile Lab,0
76,4,581,17-Mar-20,1,0,ICT,3
112,1,166,17/03/2020,0,0,Punjab,1
140,150,554,17/03/2020,3,0,Sindh,147
52,15,51,17/03/2020,0,0,KP,15
5,0,0,17/03/2020,0,0,KPTD,0
103,14,163,17/03/2020,0,0,Balochistan,14
